,date,word,link
101,May 20,copious,https://www.merriam-webster.com/word-of-the-day/copious-2021-05-20
102,May 21,altruism,https://www.merriam-webster.com/word-of-the-day/altruism-2021-05-21
103,May 22,heliacal,https://www.merriam-webster.com/word-of-the-day/heliacal-2021-05-22
104,May 23,gadfly,https://www.merriam-webster.com/word-of-the-day/gadfly-2021-05-23
105,May 24,chouse,https://www.merriam-webster.com/word-of-the-day/chouse-2021-05-24
106,May 25,bumbershoot,https://www.merriam-webster.com/word-of-the-day/bumbershoot-2021-05-25
107,May 26,desolate,https://www.merriam-webster.com/word-of-the-day/desolate-2021-05-26
108,May 27,flotilla,https://www.merriam-webster.com/word-of-the-day/flotilla-2021-05-27
109,May 28,lymphatic,https://www.merriam-webster.com/word-of-the-day/lymphatic-2021-05-28
110,May 29,inroad,https://www.merriam-webster.com/word-of-the-day/inroad-2021-05-29
111,May 30,nettle,https://www.merriam-webster.com/word-of-the-day/nettle-2021-05-30
112,May 31,elegiac,https://www.merriam-webster.com/word-of-the-day/elegiac-2021-05-31
113,Apr 01,wigged-out,https://www.merriam-webster.com/word-of-the-day/wigged-out-2021-04-01
114,Apr 02,pertain,https://www.merriam-webster.com/word-of-the-day/pertain-2021-04-02
115,Apr 03,moxie,https://www.merriam-webster.com/word-of-the-day/moxie-2021-04-03
116,Apr 04,hare,https://www.merriam-webster.com/word-of-the-day/hare-2021-04-04
117,Apr 05,reputation,https://www.merriam-webster.com/word-of-the-day/reputation-2021-04-05
118,Apr 06,hoosegow,https://www.merriam-webster.com/word-of-the-day/hoosegow-2021-04-06
119,Apr 07,brusque,https://www.merriam-webster.com/word-of-the-day/brusque-2021-04-07
120,Apr 08,savvy,https://www.merriam-webster.com/word-of-the-day/savvy-2021-04-08
121,Apr 09,vendetta,https://www.merriam-webster.com/word-of-the-day/vendetta-2021-04-09
122,Apr 10,fatuous,https://www.merriam-webster.com/word-of-the-day/fatuous-2021-04-10
123,Apr 11,drub,https://www.merriam-webster.com/word-of-the-day/drub-2021-04-11
124,Apr 12,gallant,https://www.merriam-webster.com/word-of-the-day/gallant-2021-04-12
125,Apr 13,minatory,https://www.merriam-webster.com/word-of-the-day/minatory-2021-04-13
126,Apr 14,discomfit,https://www.merriam-webster.com/word-of-the-day/discomfit-2021-04-14
127,Apr 15,obstreperous,https://www.merriam-webster.com/word-of-the-day/obstreperous-2021-04-15
128,Apr 16,lodestone,https://www.merriam-webster.com/word-of-the-day/lodestone-2021-04-16
129,Apr 17,purloin,https://www.merriam-webster.com/word-of-the-day/purloin-2021-04-17
130,Apr 18,forfend,https://www.merriam-webster.com/word-of-the-day/forfend-2021-04-18
131,Apr 19,chlamys,https://www.merriam-webster.com/word-of-the-day/chlamys-2021-04-19
132,Apr 20,adulate,https://www.merriam-webster.com/word-of-the-day/adulate-2021-04-20
133,Apr 21,touchstone,https://www.merriam-webster.com/word-of-the-day/touchstone-2021-04-21
134,Apr 22,ebullient,https://www.merriam-webster.com/word-of-the-day/ebullient-2021-04-22
135,Apr 23,bogart,https://www.merriam-webster.com/word-of-the-day/bogart-2021-04-23
136,Apr 24,impresario,https://www.merriam-webster.com/word-of-the-day/impresario-2021-04-24
